,ModelNickname,Estimator,Xvars,HyperParams,Scaler,Observations,Tuned,CrossValidated,DynamicallyTested,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,CILevel,CIPlusMinus,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,models,weights,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,LevelInSampleRMSE,LevelInSampleMAPE,LevelInSampleMAE,LevelInSampleR2,best_model,Series,FcstMAPE,ObjectEstimator,Used Anomalies
0,auto_arima,arima,,"{'order': (1, 1, 2), 'seasonal_order': (1, 0, 1, 12), 'trend': None}",,249,False,False,True,0,4,22444.017531197056,0.03316582554692209,17112.279452309143,0.7867769344364929,455987.4002569851,438059.0,0.95,116985.65359265484,45176.656130526586,0.09586269190502883,25398.090053349886,0.7931423076097835,,,,,,22444.017531197056,0.03316582554692209,17112.279452309143,0.7867769344364929,45176.656130526586,0.09586269190502883,25398.090053349886,0.7931423076097835,True,Hou-Dom,0.06532574345518065,Forecaster,False
1,arima_cv_uv,arima,,"{'order': (2, 1, 0), 'seasonal_order': (0, 1, 1, 12)}",,249,True,True,True,0,4,19757.697963452927,0.034561767532155487,17330.98428096433,0.8347636212313728,460109.3876260332,438059.0,0.95,115041.09558455963,47227.64465979132,0.092618382695133,24889.428448377308,0.773933565426967,,rmse,67335.49012635654,,,19757.697963452927,0.034561767532155487,17330.98428096433,0.8347636212313728,47227.64465979132,0.092618382695133,24889.428448377308,0.773933565426967,False,Hou-Dom,0.07295518161963208,Forecaster,False
2,hwes_cv_uv,hwes,,"{'trend': 'add', 'seasonal': 'add'}",,249,True,True,True,0,4,19257.12244419044,0.03661537058571819,18637.91167724588,0.8430303217237702,450875.2929067922,438059.0,0.95,77246.57842785983,39834.73558240727,0.09592563588835802,21222.256977411074,0.8391698791100195,,rmse,77516.7371181606,,,19257.12244419044,0.03661537058571819,18637.91167724588,0.8430303217237702,39834.73558240727,0.09592563588835802,21222.256977411074,0.8391698791100195,False,Hou-Dom,0.02086444560417384,Forecaster,False
3,prophet_tune_uv,prophet,[],{'n_changepoints': 0},,249,True,False,True,0,4,21744.15456750997,0.04199304623374281,20650.146648377573,0.7998673077738722,456638.8918810885,438059.0,0.95,201068.0071322588,78216.60376421726,0.20109600973373346,48200.466136386196,0.3799290004289334,36,rmse,205878.9497201733,,,21744.15456750997,0.04199304623374281,20650.146648377573,0.7998673077738722,78216.60376421726,0.20109600973373346,48200.466136386196,0.3799290004289334,False,Hou-Dom,0.08659283182653668,Forecaster,False
4,silverkite_tune_uv,silverkite,,{'changepoints': 4},,249,True,False,True,0,4,29775.86799303556,0.04598918543975171,24419.81555068704,0.6247144476975313,446189.3824511557,438059.0,0.95,264097.96801960666,82275.40426774757,0.21529480438894077,52536.35994567288,0.31390609572369543,36,rmse,195792.3595024728,,,29775.86799303556,0.04598918543975171,24419.81555068704,0.6247144476975313,82275.40426774757,0.21529480438894077,52536.35994567288,0.31390609572369543,False,Hou-Dom,0.05873676144730609,Forecaster,False
5,silverkite_cv_uv,silverkite,,{'changepoints': 1},,249,True,True,True,0,4,29775.86799303556,0.04598918543975171,24419.81555068704,0.6247144476975313,446189.3824511557,438059.0,0.95,169217.36217358068,82275.40426774757,0.21529480438894077,52536.35994567288,0.31390609572369543,,rmse,91724.38340131419,,,29775.86799303556,0.04598918543975171,24419.81555068704,0.6247144476975313,82275.40426774757,0.21529480438894077,52536.35994567288,0.31390609572369543,False,Hou-Dom,0.05873676144730609,Forecaster,False
6,hwes_tune_uv,hwes,,"{'trend': None, 'seasonal': 'add'}",,249,True,False,True,0,4,26407.164202503638,0.05122792753851528,25099.660219581492,0.7048270767293177,465884.77621451137,438059.0,0.95,83407.20100445428,39701.48061605368,0.0958433098762566,20995.66996949579,0.8402440956653018,36,rmse,208699.58893676524,,,26407.164202503638,0.05122792753851528,25099.660219581492,0.7048270767293177,39701.48061605368,0.0958433098762566,20995.66996949579,0.8402440956653018,False,Hou-Dom,0.026248673309414126,Forecaster,False
7,mlr_cv_mv,mlr,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']",{},,249,True,True,True,0,4,48846.050638956694,0.054871128093879694,30340.86776639751,-0.009931446666036958,435578.2491071268,438059.0,0.95,73706.91488181154,34672.5765555507,0.08975537294792262,22527.800761576935,0.881682818017869,,mae,139516.26617813602,,,48846.050638956694,0.054871128093879694,30340.86776639751,-0.009931446666036958,34672.5765555507,0.08975537294792262,22527.800761576935,0.881682818017869,False,Hou-Dom,0.09164034494688535,Forecaster,False
8,mlr_tune_mv,mlr,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']",{},minmax,249,True,False,True,0,4,48846.05081203267,0.05487112843768618,30340.867957746057,-0.00993145382300753,435578.2493263438,438059.0,0.95,54084.6990590317,34672.576555550695,0.08975537293936985,22527.800755868106,0.8816828180178691,36,mae,184021.80622431554,,,48846.05081203267,0.05487112843768618,30340.867957746057,-0.00993145382300753,34672.576555550695,0.08975537293936985,22527.800755868106,0.8816828180178691,False,Hou-Dom,0.09164034508236128,Forecaster,False
9,arima_tune_uv,arima,,"{'order': (0, 1, 2), 'seasonal_order': (2, 1, 0, 12)}",,249,True,False,True,0,4,37881.88900283169,0.07117002755709337,33854.52644950677,0.39256999759392786,495428.0784294803,438059.0,0.95,83432.9323824642,48828.8237579619,0.09635419415397559,26020.344563445404,0.758344860426008,36,rmse,231608.50639808722,,,37881.88900283169,0.07117002755709337,33854.52644950677,0.39256999759392786,48828.8237579619,0.09635419415397559,26020.344563445404,0.758344860426008,False,Hou-Dom,0.07212088920622292,Forecaster,False
10,knn_tune_uv,knn,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01', 'AR1', 'AR12', 'AR24', 'AR36']",{'n_neighbors': 95},minmax,249,True,False,True,0,4,45667.76608373547,0.07214494773604788,37874.021052631564,0.11721992907085665,464416.6842105263,438059.0,0.95,150562.2500187968,74833.97468375062,0.20541607051590927,43598.364764022735,0.44884568585722473,36,rmse,175255.70769835167,,,45667.76608373547,0.07214494773604788,37874.021052631564,0.11721992907085665,74833.97468375062,0.20541607051590927,43598.364764022735,0.44884568585722473,False,Hou-Dom,0.07413482391025186,Forecaster,False
11,xgboost_tune_mv,xgboost,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']","{'n_estimators': 200, 'scale_pos_weight': 5, 'learning_rate': 0.1, 'gamma': 3, 'subsample': 0.9}",minmax,249,True,False,True,0,4,62293.691667524436,0.0796588233949183,43464.2734375,-0.6425595452855983,442695.5,438059.0,0.95,208.05174986982416,107.47052696711457,0.00020071403598576117,79.30118471244131,0.9999988632777979,36,mae,96395.64348958334,,,62293.691667524436,0.0796588233949183,43464.2734375,-0.6425595452855983,107.47052696711457,0.00020071403598576117,79.30118471244131,0.9999988632777979,False,Hou-Dom,0.13127451357201803,Forecaster,False
12,weighted,combo,,"{'how': 'weighted', 'determine_best_by': 'LevelTestSetMAPE'}",,249,False,False,,0,4,55845.80134377347,0.08253287238595534,44281.22730752973,-0.3201219088783105,430070.2001565512,438059.0,0.95,62828.18217277505,40674.920792553916,0.11874472201748602,27692.256791897722,0.8390233822171025,,,,"['auto_arima', 'arima_cv_uv', 'hwes_cv_uv', 'prophet_tune_uv', 'silverkite_tune_uv', 'silverkite_cv_uv', 'hwes_tune_uv', 'mlr_cv_mv', 'mlr_tune_mv', 'arima_tune_uv', 'knn_tune_uv', 'xgboost_tune_mv', 'knn_tune_mv', 'knn_cv_mv', 'lightgbm_cv_mv', 'xgboost_cv_uv', 'xgboost_tune_uv', 'xgboost_cv_mv', 'theta_cv_uv', 'theta_tune_uv', 'lightgbm_cv_uv', 'auto_arima_anom', 'avg', 'lightgbm_tune_uv', 'mlp_cv_uv', 'elasticnet_cv_mv', 'mlp_cv_mv', 'mlp_tune_mv', 'mlp_tune_uv', 'elasticnet_tune_mv', 'lightgbm_tune_mv', 'elasticnet_tune_uv', 'stacking_mv', 'sgd_tune_mv', 'sgd_cv_mv', 'elasticnet_cv_uv', 'mlr_tune_uv', 'mlr_cv_uv', 'knn_cv_uv', 'lstm', 'stacking_uv', 'sgd_cv_uv', 'sgd_tune_uv', 'prophet_cv_uv']","(0.031090652001827007, 0.0309856084090921, 0.030831076311713036, 0.03042641023202844, 0.030125703738701055, 0.030125703738701055, 0.029731492304925937, 0.029457344181696227, 0.02945734415582504, 0.028230864159351464, 0.02815750214337197, 0.02759208860690672, 0.027320368886137116, 0.02710475761952772, 0.02703818502070363, 0.026862585517139128, 0.026607994712028522, 0.02651254727366705, 0.026435753653385845, 0.026400210967263672, 0.0259992648169381, 0.025711294393794815, 0.024675147273003205, 0.02289337409631607, 0.022763815599044213, 0.02261576293990168, 0.02255388250520985, 0.022553882344982644, 0.022553882029083917, 0.022440562988635816, 0.021643651273577653, 0.021201824103095738, 0.019599197311984413, 0.01836514519919836, 0.017613031295571978, 0.016463815518578277, 0.014863921057415005, 0.014863921057415005, 0.013983536183855266, 0.012284811451154351, 0.011524203296689578, 0.006112777112747979, 0.0033986796085560206, 0.0028264229092570007)",55845.80134377347,0.08253287238595534,44281.22730752973,-0.3201219088783105,40674.920792553916,0.11874472201748602,27692.256791897722,0.8390233822171025,False,Hou-Dom,0.07463477636674169,Forecaster,False
13,knn_tune_mv,knn,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']",{'n_neighbors': 92},minmax,249,True,False,True,0,4,49823.933311914494,0.08326975250123148,43103.491847826095,-0.05077323902453856,476615.1847826087,438059.0,0.95,110343.50869688009,73608.53951881808,0.20655343699319922,45946.89640743009,0.46674862048918786,36,mae,93646.66567028985,,,49823.933311914494,0.08326975250123148,43103.491847826095,-0.05077323902453856,73608.53951881808,0.20655343699319922,45946.89640743009,0.46674862048918786,False,Hou-Dom,0.08803001078982255,Forecaster,False
14,knn_cv_mv,knn,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']",{'n_neighbors': 54},minmax,249,True,True,True,0,4,49466.172374247806,0.08613504691579868,44469.91203703704,-0.0357372542389609,474979.81481481483,438059.0,0.95,97826.76554941904,66935.85142994391,0.18506196671281963,37372.49330551208,0.5590461184479225,,mae,60332.51090534978,,,49466.172374247806,0.08613504691579868,44469.91203703704,-0.0357372542389609,66935.85142994391,0.18506196671281963,37372.49330551208,0.5590461184479225,False,Hou-Dom,0.08286054317376171,Forecaster,False
15,lightgbm_cv_mv,lightgbm,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']","{'n_estimators': 150, 'boosting_type': 'goss', 'max_depth': 1, 'learning_rate': 0.01}",minmax,249,True,True,True,0,4,55399.44368111626,0.08701974138735175,45630.39807461873,-0.2991036161564429,471988.58185343543,438059.0,0.95,116905.46475083042,62557.17998742559,0.1733170074673449,44011.18393120743,0.6148499915370529,,mae,60923.70701790499,,,55399.44368111626,0.08701974138735175,45630.39807461873,-0.2991036161564429,62557.17998742559,0.1733170074673449,44011.18393120743,0.6148499915370529,False,Hou-Dom,0.12415419977315195,Forecaster,False
16,xgboost_cv_uv,xgboost,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01', 'AR1', 'AR12', 'AR24', 'AR36']","{'n_estimators': 150, 'scale_pos_weight': 5, 'learning_rate': 0.1, 'gamma': 3, 'subsample': 0.8}",minmax,249,True,True,True,0,4,60075.926576879,0.08935331274786718,48003.9921875,-0.5276854424091912,432587.15625,438059.0,0.95,4545.543563997804,2108.0747346311687,0.00421589849001613,1611.624853286385,0.9995626314082393,,rmse,105610.36986358983,,,60075.926576879,0.08935331274786718,48003.9921875,-0.5276854424091912,2108.0747346311687,0.00421589849001613,1611.624853286385,0.9995626314082393,False,Hou-Dom,0.08731368123907748,Forecaster,False
17,xgboost_tune_uv,xgboost,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01', 'AR1', 'AR12', 'AR24', 'AR36']","{'n_estimators': 200, 'scale_pos_weight': 5, 'learning_rate': 0.1, 'gamma': 0, 'subsample': 0.8}",minmax,249,True,False,True,0,4,60121.90929866413,0.09273661281077676,49476.21875,-0.530024949183747,427234.1875,438059.0,0.95,1633.2830794282906,973.8980336570357,0.001964230119048416,738.7621405516431,0.999906652527411,36,rmse,197472.27330281152,,,60121.90929866413,0.09273661281077676,49476.21875,-0.530024949183747,973.8980336570357,0.001964230119048416,738.7621405516431,0.999906652527411,False,Hou-Dom,0.08704822744995752,Forecaster,False
18,xgboost_cv_mv,xgboost,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']","{'n_estimators': 200, 'scale_pos_weight': 10, 'learning_rate': 0.1, 'gamma': 0, 'subsample': 0.8}",minmax,249,True,True,True,0,4,72678.19954501138,0.09400502988527647,51172.125,-1.2358430010676744,424119.65625,438059.0,0.95,279.807910862593,130.74830614749357,0.00027135252484732975,96.40526885269954,0.9999983175284531,,mae,76603.06948005698,,,72678.19954501138,0.09400502988527647,51172.125,-1.2358430010676744,130.74830614749357,0.00027135252484732975,96.40526885269954,0.9999983175284531,False,Hou-Dom,0.13608757704442434,Forecaster,False
19,theta_cv_uv,theta,,"{'theta': 1, 'model_mode': <ModelMode.ADDITIVE: 'additive'>, 'season_mode': <SeasonalityMode.ADDITIVE: 'additive'>, 'trend_mode': <TrendMode.LINEAR: 'linear'>}",,249,True,True,True,0,4,60313.88211519528,0.09502555323141845,49876.924312172545,-0.5398114692751075,474145.14532609226,438059.0,0.95,86806.61918470694,47134.81303220638,0.11363980985489791,29982.15260309599,0.776382955719968,,rmse,84035.66819191769,,,60313.88211519528,0.09502555323141845,49876.924312172545,-0.5398114692751075,47134.81303220638,0.11363980985489791,29982.15260309599,0.776382955719968,False,Hou-Dom,0.09187070139460587,Forecaster,False
20,theta_tune_uv,theta,,"{'theta': 0.5, 'model_mode': <ModelMode.ADDITIVE: 'additive'>, 'season_mode': <SeasonalityMode.ADDITIVE: 'additive'>, 'trend_mode': <TrendMode.EXPONENTIAL: 'exponential'>}",,249,True,False,True,0,4,60716.37107242912,0.09549788596999043,50236.021044406254,-0.5604311005938158,471473.5228322053,438059.0,0.95,124635.76248255638,46671.81129499919,0.11187758181811064,29702.956269984395,0.7807545258897021,36,rmse,182658.60872002167,,,60716.37107242912,0.09549788596999043,50236.021044406254,-0.5604311005938158,46671.81129499919,0.11187758181811064,29702.956269984395,0.7807545258897021,False,Hou-Dom,0.09234545572800323,Forecaster,False
21,lightgbm_cv_uv,lightgbm,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01', 'AR1', 'AR12', 'AR24', 'AR36']","{'n_estimators': 200, 'boosting_type': 'gbdt', 'max_depth': 2, 'learning_rate': 0.1}",minmax,249,True,True,True,0,4,59973.37944969979,0.10082612685060877,51079.341330858704,-0.5224745016412395,507756.0919928644,438059.0,0.95,49598.1406677849,27659.6246588303,0.07315551873819236,18778.284512948383,0.9247046509843772,,rmse,106483.14057887298,,,59973.37944969979,0.10082612685060877,51079.341330858704,-0.5224745016412395,27659.6246588303,0.07315551873819236,18778.284512948383,0.9247046509843772,False,Hou-Dom,0.0671407481211099,Forecaster,False
22,auto_arima_anom,arima,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']","{'order': (1, 1, 2), 'seasonal_order': (1, 0, 1, 12)}",,249,False,False,True,0,4,59556.736546894506,0.1046530142761523,54469.12047882294,-0.501394321695267,412106.8787104076,438059.0,0.95,93859.6125013634,44984.67063361572,0.09511437477794144,25208.141366529326,0.7948967221864972,,,,,,59556.736546894506,0.1046530142761523,54469.12047882294,-0.501394321695267,44984.67063361572,0.09511437477794144,25208.141366529326,0.7948967221864972,False,Hou-Dom,0.060515638477432146,Forecaster,False
23,avg,combo,,{'how': 'simple'},,249,False,False,,0,4,69866.2562305708,0.11842254777299195,61949.25622225486,-1.0661789328741502,409019.1069053434,438059.0,0.95,73468.80619211207,41837.239437055745,0.12234583203718948,28685.30689822318,0.8296918592722315,,,,"['knn_cv_mv', 'mlr_cv_mv', 'elasticnet_cv_mv', 'sgd_cv_mv', 'xgboost_cv_mv', 'lightgbm_cv_mv', 'mlp_cv_mv', 'knn_tune_mv', 'mlr_tune_mv', 'elasticnet_tune_mv', 'sgd_tune_mv', 'xgboost_tune_mv', 'lightgbm_tune_mv', 'mlp_tune_mv', 'stacking_mv', 'auto_arima', 'auto_arima_anom', 'knn_cv_uv', 'mlr_cv_uv', 'elasticnet_cv_uv', 'sgd_cv_uv', 'xgboost_cv_uv', 'lightgbm_cv_uv', 'mlp_cv_uv', 'hwes_cv_uv', 'arima_cv_uv', 'prophet_cv_uv', 'silverkite_cv_uv', 'theta_cv_uv', 'knn_tune_uv', 'mlr_tune_uv', 'elasticnet_tune_uv', 'sgd_tune_uv', 'xgboost_tune_uv', 'lightgbm_tune_uv', 'mlp_tune_uv', 'hwes_tune_uv', 'arima_tune_uv', 'prophet_tune_uv', 'silverkite_tune_uv', 'theta_tune_uv', 'stacking_uv', 'lstm']",,69866.2562305708,0.11842254777299195,61949.25622225486,-1.0661789328741502,41837.239437055745,0.12234583203718948,28685.30689822318,0.8296918592722315,False,Hou-Dom,0.08179264318419197,Forecaster,False
24,lightgbm_tune_uv,lightgbm,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01', 'AR1', 'AR12', 'AR24', 'AR36']","{'n_estimators': 250, 'boosting_type': 'gbdt', 'max_depth': 2, 'learning_rate': 0.001}",minmax,249,True,False,True,0,4,89035.80290854252,0.14210083143353996,75418.90338833329,-2.3555394062673978,425008.7697236918,438059.0,0.95,166005.30658956608,85564.30766547317,0.2387117155194124,66864.52626301485,0.27945540105210653,36,rmse,170859.51903233444,,,89035.80290854252,0.14210083143353996,75418.90338833329,-2.3555394062673978,85564.30766547317,0.2387117155194124,66864.52626301485,0.27945540105210653,False,Hou-Dom,0.12072764982792251,Forecaster,False
25,mlp_cv_uv,mlp,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01', 'AR1', 'AR12', 'AR24', 'AR36']","{'activation': 'relu', 'hidden_layer_sizes': (25, 25), 'solver': 'lbfgs'}",minmax,249,True,True,True,0,4,76155.72928224978,0.14382255611161662,69337.42445285377,-1.4549245400666524,530642.7012928865,438059.0,0.95,75092.86657024597,38371.64171341987,0.09962632263616587,26670.048528733103,0.8550906704137067,,rmse,105636.28081932913,,,76155.72928224978,0.14382255611161662,69337.42445285377,-1.4549245400666524,38371.64171341987,0.09962632263616587,26670.048528733103,0.8550906704137067,False,Hou-Dom,0.13184945361441314,Forecaster,False
26,elasticnet_cv_mv,elasticnet,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']","{'alpha': 1.6, 'l1_ratio': 0.5}",minmax,249,True,True,True,0,4,90745.17904868796,0.1457900528198079,77270.1311589876,-2.4856205570694785,419765.6414347331,438059.0,0.95,157199.17960202042,89321.81951758882,0.25171518875070864,71012.40814701426,0.2147811652912166,,mae,61072.770498712,,,90745.17904868796,0.1457900528198079,77270.1311589876,-2.4856205570694785,89321.81951758882,0.25171518875070864,71012.40814701426,0.2147811652912166,False,Hou-Dom,0.11836014088041337,Forecaster,False
27,mlp_cv_mv,mlp,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']","{'activation': 'tanh', 'hidden_layer_sizes': (25, 25), 'solver': 'lbfgs'}",minmax,249,True,True,True,0,4,91762.88050744502,0.14661239233240256,77832.84884504828,-2.5642409896770832,425440.9011549517,438059.0,0.95,183760.83011598446,95390.68696409374,0.2531969260395609,78431.34779638762,0.10445474188125725,,mae,65761.71674272016,,,91762.88050744502,0.14661239233240256,77832.84884504828,-2.5642409896770832,95390.68696409374,0.2531969260395609,78431.34779638762,0.10445474188125725,False,Hou-Dom,0.11918730906300773,Forecaster,False
28,mlp_tune_mv,mlp,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']","{'activation': 'tanh', 'hidden_layer_sizes': (25, 25), 'solver': 'lbfgs'}",minmax,249,True,False,True,0,4,91762.88140781884,0.14661239446168886,77832.84990656533,-2.564241059621472,425440.90009343467,438059.0,0.95,214890.44282775142,100800.38876232872,0.2793795459089259,81469.96636309041,-4.4719783431901305e-13,36,mae,92561.56849664316,,,91762.88140781884,0.14661239446168886,77832.84990656533,-2.564241059621472,100800.38876232872,0.2793795459089259,81469.96636309041,-4.4719783431901305e-13,False,Hou-Dom,0.12260200769080747,Forecaster,False
29,mlp_tune_uv,mlp,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01', 'AR1', 'AR12', 'AR24', 'AR36']","{'activation': 'tanh', 'hidden_layer_sizes': (25, 25), 'solver': 'lbfgs'}",minmax,249,True,False,True,0,4,91762.88318296647,0.1466123986597202,77832.85199941765,-2.5642411975215476,425440.89800058235,438059.0,0.95,215403.75607791723,100800.38876230638,0.27937948871936236,81469.9625541791,-3.9968028886505635e-15,36,rmse,172350.89951266855,,,91762.88318296647,0.1466123986597202,77832.85199941765,-2.5642411975215476,100800.38876230638,0.27937948871936236,81469.9625541791,-3.9968028886505635e-15,False,Hou-Dom,0.12260207289245059,Forecaster,False
30,elasticnet_tune_mv,elasticnet,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']","{'alpha': 1, 'l1_ratio': 0.5}",minmax,249,True,False,True,0,4,91459.10195192158,0.14811831446257234,78356.00048002093,-2.5406814025636755,416043.65092393575,438059.0,0.95,178703.9367994148,84322.0272426638,0.23936280370269844,66546.52348699216,0.3002262225804473,36,mae,94118.19921954435,,,91459.10195192158,0.14811831446257234,78356.00048002093,-2.5406814025636755,84322.0272426638,0.23936280370269844,66546.52348699216,0.3002262225804473,False,Hou-Dom,0.11776838863029707,Forecaster,False
31,lightgbm_tune_mv,lightgbm,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01']","{'n_estimators': 200, 'boosting_type': 'goss', 'max_depth': 3, 'learning_rate': 0.001}",minmax,249,True,False,True,0,4,95985.12630135544,0.15870860838351086,83654.94902111472,-2.899786808354402,416022.12153713376,438059.0,0.95,160868.019121633,86941.1903061648,0.2424447540745748,68622.53872279357,0.25607911831071883,36,mae,92233.34361572594,,,95985.12630135544,0.15870860838351086,83654.94902111472,-2.899786808354402,86941.1903061648,0.2424447540745748,68622.53872279357,0.25607911831071883,False,Hou-Dom,0.1306265783360452,Forecaster,False
32,elasticnet_tune_uv,elasticnet,"['Anomaly_2020-06-01', 'cp2', 'Anomaly_2020-09-01', 'Anomaly_2020-08-01', 'Anomaly_2021-05-01', 'AR1', 'AR12', 'AR24', 'AR36']","{'alpha': 1.9, 'l1_ratio': 0.75}",minmax,249,True,False,True,0,4,97058.34695050458,0.16458012402225206,86353.31361973728,-2.9874822717661575,409960.4304683509,438059.0,0.95,166092.04046558196,90122.99879822608,0.2538508504834717,71782.87495782002,0.20063182415690395,36,rmse,170861.0001950239,,,97058.34695050458,0.16458012402225206,86353.31361973728,-2.9874822717661575,90122.99879822608,0.2538508504834717,71782.87495782002,0.20063182415690395,False,Hou-Dom,0.12064858240278992,Forecaster,False
